"","words","sentiments"
"535","साँचो",""
"536","हिँडिरहेछु",""
"537","साहारामै",""
"538","बाँचिरहेछु",""
"539","पर्याे",""
"540","छाेडा",""
"541","बग्याे",""
"542","फर्कि",""
"543","अाए",""
"544","अाज",""
"545","बितेकाे",""
"546","याे",""
"547","भिज्याे",""
"548","कालाे",""
"549","चडि",""
"550","अायाे",""
"551","बरि",""
"552","अाे",""
"553","नानी",""
"554","देउराली",""
"555","डाँडाको",""
"556","शीतल",""
"557","हावामा",""
"558","जंगलनै",""
"559","नाच्यो",""
"560","बिनाको",""
"561","जीन्दगानी",""
"562","काटुँ",""
"563","रेलमा",""
"564","चढी",""
"565","जानेछु",""
"566","अाउने",""
"567","दिनको",""
"568","अाशा",""
"569","राखि",""
"570","बढेछु",""
"571","पारि",""
"572","जीउन",""
"573","अा",""
"574","उति",""
"575","पुग्न",""
"576","त्यहाँ",""
"577","हेर",""
"578","ढलिसक्यो",""
"579","कल्पनाको",""
"580","समुन्द्रमा",""
"581","डुबिरहने",""
"582","खाँचो",""
"583","इच्छा",""
"584","पाउनेछु",""
"585","गरेको",""
"586","प्रतिक्षा",""
"587","दुनियाको",""
"588","नअल्झाउ",""
"589","जसरी",""
"590","घर",""
"591","बार",""
"592","तिमीलाई",""
"593","राम",""
"594","साइली",""
"595","पिरले",""
"596","गम",""
"597","खाए",""
"598","किनारैमा",""
"599","ढलपल",""
"600","गर्छन",""
"601","माथी",""
"602","बादलकी",""
"603","नबिर्सने",""
"604","चिसो",""
"605","मुटु",""
"606","भिज्ने",""
"607","जिन्दगीको",""
"608","खोजमा",""
"609","बिरानो",""
"610","शहरमा",""
"611","कीनारैमा",""
"612","दार्जिलिङको",""
"613","रेल",""
"614","छुक",""
"615","गर्दै",""
"616","बढी",""
"617","बूढापाखा",""
"618","सबैलाई",""
"619","समेटी",""
"620","हिँडी",""
"621","बितीसके",""
"622","बढेछौ",""
"623","रूक्ने",""
"624","आएँ",""
"625","अर्को",""
"626","बतासे",""
"627","काटेर",""
"628","इंजिन",""
"629","धुँवा",""
"630","कु",""
"631","गरी",""
"632","सिटी",""
"633","बजाई",""
"634","भीड़मा",""
"635","भागेछु",""
"636","पुरानो",""
"637","बन्धन",""
"638","अझ",""
"639","लैजाऊ",""
"640","तिमीसँग",""
"641","जिउन",""
"642","गार्हो",""
"643","जिन्दगानी",""
"644","मर्नेछौं",""
"645","जिउनेछु",""
"646","नमारी",""
"647","मनभरी",""
"648","बोकी",""
"649","समझन्छु",""
"650","घरी",""
"651","गर्न",""
"652","जित्नु",""
"653","नसक्ने",""
"654","केहिँ",""
"655","नरैछन्",""
"656","साथ",""
"657","भएदेखि",""
"658","तिम्ले",""
"659","हात",""
"660","थामेदेखि",""
"661","जीतीदिन्छु",""
"662","चुमिदिन्छु",""
"663","हरियाली",""
"664","जतातिर",""
"665","भरिएको",""
"666","चीयाबारी",""
"667","उकाली",""
"668","ओराली",""
"669","काटी",""
"670","कहिल्ये",""
"671","काहीँ",""
"672","आउछ",""
"673","बेस्सरी",""
"674","हिँडेछु",""
"675","चढेर",""
"676","केटी",""
"677","हुन्न",""
"678","भर",""
"679","केटा",""
"680","खबर",""
"681","बग्दै",""
"682","रातले",""
"683","जुनलाई",""
"684","चाहे",""
"685","दिनले",""
"686","घामलाई",""
"687","पाए",""
"688","अजम्बरी",""
"689","लाउँला",""
"690","लुकामारी",""
"691","खेल्छ",""
"692","किन",""
"693","अनि",""
"694","धर्ती",""
"695","साँझ",""
"696","बिहान",""
"697","खै",""
"698","खान्छ",""
"699","कुटु",""
"700","कैले",""
"701","तितो",""
"702","यस्तो",""
"703","कथा",""
"704","मुटुको",""
"705","सुन",""
"706","घामपानीले",""
"707","मायालाई",""
"708","छुन्छ",""
"709","रंग",""
"710","मधुरो",""
"711","किनाराले",""
"712","नदीलाई",""
"713","डोर्याए",""
"714","नदीले",""
"715","सागर",""
"716","दाजु",""
"717","नसमाऊ",""
"718","नाडीमा",""
"719","जान्न",""
"720","डिजेलको",""
"721","गाडीमा",""
